,rooms,area,floor,total_floors,city,district,residential_complex,house_type,condition,bathroom,ceiling_height,house_age,floor_ratio,is_first_floor,is_last_floor,description_len,lat,lon,coordinates_found,price_per_m2,price
116,2,72.1,4.0,6.0,Алматы,Медеуский р-н,Arman City,монолитный,черновая отделка,раздельный,2.85,2,0.6666666666666666,0,0,1308,43.25297095,76.95745545,0,651872.4,47000000
117,1,38.0,3.0,9.0,Астана,Нура р-н,Dream Town,кирпичный,свежий ремонт,совмещенный,2.8,3,0.3333333333333333,0,0,1055,51.1241672,71.3779817,1,671052.63,25500000
118,1,48.31,5.0,6.0,Алматы,Медеуский р-н,Dream City. Art,монолитный,unknown,2 с/у и более,2.7,0,0.6,0,0,3385,43.2363924,76.9457275,1,967819.93,46755381
119,1,50.1,6.0,14.0,Астана,Сарайшык р-н,La Vie,монолитный,свежий ремонт,unknown,3.15,1,0.42857142857142855,0,0,924,51.1289713,71.4926108,1,968063.87,48500000
120,2,52.0,6.0,9.0,Астана,Нура р-н,Dariya от NAK,кирпичный,свежий ремонт,совмещенный,3.0,1,0.6666666666666666,0,0,516,51.1311244,71.3932162,1,778846.15,40500000
121,3,70.0,4.0,18.0,Астана,Нура р-н,Respublika,панельный,свежий ремонт,unknown,3.0,1,0.2222222222222222,0,0,167,51.1262099,71.3836769,1,664285.71,46500000
122,1,31.0,3.0,5.0,Астана,Сарыарка р-н,unknown,кирпичный,"не новый, но аккуратный ремонт",совмещенный,2.7,9,0.6,0,0,713,51.1904765,71.4186012,1,500000.0,15500000
123,4,137.76,5.0,15.0,Астана,Есильский р-н,Capital Park. Art,монолитный,unknown,2 с/у и более,3.0,0,0.6,0,0,2759,51.1282205,71.4306682,1,929000.0,127979040
124,2,58.6,4.0,9.0,Алматы,Бостандыкский р-н,unknown,монолитный,unknown,раздельный,3.0,10,0.4444444444444444,0,0,288,43.2261794,76.89391225,0,930034.13,54500000
125,1,40.0,6.0,9.0,Алматы,unknown,unknown,панельный,"не новый, но аккуратный ремонт",совмещенный,2.8,34,0.6666666666666666,0,0,243,43.2363924,76.8922997,0,875000.0,35000000
126,1,38.34,5.0,10.0,Астана,Есильский р-н,Коркем 4,монолитный,unknown,совмещенный,2.7,5,0.6,0,0,1194,51.1282205,71.4306682,1,547730.83,21000000
127,2,64.0,6.0,14.0,Шымкент,Абайский р-н,MUQAGALI,монолитный,свежий ремонт,совмещенный,3.0,1,0.42857142857142855,0,0,378,42.3146962,69.5883282,0,726562.5,46500000
128,2,45.6,8.0,9.0,Алматы,Наурызбайский р-н,Ulytau park,монолитный,свежий ремонт,совмещенный,2.7,1,0.8888888888888888,0,0,728,43.2169826,76.8078742,0,728070.18,33200000
129,1,31.2,1.0,5.0,Алматы,Бостандыкский р-н,unknown,панельный,unknown,unknown,2.85,49,0.2,1,0,546,43.2311055,76.9318626,1,817307.69,25500000
130,4,104.4,5.0,6.0,Астана,Есильский р-н,Gold Land,монолитный,unknown,2 с/у и более,3.0,2,0.6,0,0,2267,51.1282205,71.4306682,1,517545.0,54031698
131,3,95.0,2.0,14.0,Астана,Есильский р-н,Жагалау 3,монолитный,"не новый, но аккуратный ремонт",2 с/у и более,3.3,10,0.14285714285714285,0,0,693,51.1356147,71.3638821,1,436842.11,41500000
132,6,379.0,30.0,30.0,Астана,Алматы р-н,Хайвил Астана,монолитный,unknown,2 с/у и более,27.0,13,1.0,0,1,565,51.1268182,71.4621602,1,527704.49,200000000
133,2,68.79,5.0,7.0,Шымкент,Аль-Фарабийский р-н,Kausar Riverside,монолитный,unknown,совмещенный,3.15,0,0.6,0,0,2862,42.3146962,69.5883282,1,490000.0,33707100
135,1,34.0,5.0,5.0,Алматы,Медеуский р-н,unknown,кирпичный,свежий ремонт,раздельный,2.7,49,1.0,0,1,342,43.2620986,76.9617059,1,1176470.59,40000000
136,3,74.18,5.0,9.0,Астана,Нура р-н,GreenLine. Garden,монолитный,unknown,2 с/у и более,3.0,-1,0.6,0,0,2131,51.1282205,71.4306682,1,929000.0,68913220
137,2,59.0,2.0,10.0,Астана,р-н Байконур,Шахар,кирпичный,свежий ремонт,unknown,2.7,14,0.2,0,0,60,51.1601173,71.4357144,1,711864.41,42000000
