,geocode_query,lat,lon
333,"Астана, Суворова",51.1948922,71.3872455
334,"Астана, Алихан Бокейхан 16/3, 16/2",,
335,"Алматы, мкр №8 18",,
336,"Астана, Косшыгулулы 3/1",51.1671565,71.3922472
337,"Астана, Анет баба 1",51.1310784,71.3824873
338,"Астана, Е 882 7",51.0854394,71.4663951
339,"Астана, Сыганак 32",51.1264622,71.4086877
340,"Шымкент, Молдағұлова 15А",42.3438689,69.543869
341,"Астана, Габит Мусрепов 10/3",,
342,"Алматы, мкр Аксай-3, Аксай3",,
343,"Астана, Култегин 11/1",51.1345182,71.3721675
344,"Астана, Пер. Тасшокы 6",51.1403763,71.4531039
345,"Астана, Кошкарбаева 8",51.1272996,71.4676116
346,"Астана, Шоссе Коргалжын 6",,
347,"Астана, А 32",51.257026,51.4377114
348,"Алматы, мкр Мамыр-2 11",,
349,"Астана, ул. Жошы хан, 12/3 12/3",,
350,"Алматы, Сейитбекова 18г",43.1823681,76.8445034
351,"Алматы, ул. Кунаева 19",43.2677327,76.9479346
352,"Астана, Янушкевич 1",,
353,"Алматы, Аскарова Асанбая 21/20",,
354,"Астана, Кенесары 93",51.1623761,71.4681977
355,"Астана, Туран 67",51.0895183,71.3913166
356,"Алматы, Сыбызгы 100",43.3170704,76.9961824
357,"Алматы, Казыбек би 139",43.2550159,76.9199633
358,"Алматы, мкр Думан-2",,
359,"Астана, Аль-Фараби 21/1",51.091127,71.4483923
360,"Алматы, Вахтангова 17Б",43.2260995,76.8859214
361,"Астана, Кумисбекова 6",51.1661338,71.4000363
362,"Астана, Аль-Фараби 1",51.1572328,71.5667948
363,"Астана, Тауельсиздик 33",51.1387842,71.4637904
364,"Алматы, Райымбека",43.1894256,77.0163427
365,"Астана, Бокейхана 25",51.087785,71.4281699
366,"Астана, мкр Комсомольский, Шарля де Голля 3",,
367,"Алматы, мкр Самал",,
368,"Алматы, мкр Калкаман-2 13",,
369,"Астана, Ш. Айтматова 53",,
370,"Астана, Туран 57А",51.106896,71.3963974
371,"Астана, Бухар жырау 12/2, 12/3",,
372,"Астана, ул. Култегин 4А",51.1265602,71.3709626
373,"Алматы, мкр Алмагуль 287 Б",,
374,"Астана, Шамши Калдаякова",51.1156164,71.4777635
375,"Алматы, ул. Айтжана Туркебаева 244",,
376,"Алматы, мкр Томирис, Рыскулова 103/6",,
377,"Алматы, Сагадат Нурмагамбетов 71",43.254141,76.9819075
378,"Астана, Айтматова 23",51.1554899,71.3717609
379,"Астана, мкр Уркер, Коргалжын 128",,
380,"Астана, Сагадат Нурмагамбетов 14",51.1196282,71.485115
381,"Астана, Манаса 11/2",51.1584041,71.4873908
382,"Алматы, мкр Горный Гигант, Шукшина 71",,
383,"Алматы, Гагарина 244",43.2100947,76.8990644
384,"Астана, ул. Култегин 11/1",51.1345182,71.3721675
385,"Алматы, Ауэзова 2/8",43.2600107,76.9038454
386,"Астана, Просп. Туран 55/5",51.1109682,71.3977625
387,"Астана, Байтурсынова 67",51.1255616,71.4657048
388,"Шымкент, Площадь Аль-Фараби 4",42.3163765,69.5878538
389,"Алматы, Макатаева",43.2639948,76.9404074
390,"Алматы, Просп. Абая 165",43.2387433,76.8837641
391,"Астана, Мангилик ел 36",51.1060712,71.4324087
392,"Астана, Айнаколь 62/1",51.1303707,71.4936803
393,"Алматы, мкр Тастак-2",,
394,"Астана, Дауылпаз 7/2",50.2863628,57.1304409
395,"Астана, Алматы 13",51.1163714,71.4306622
396,"Астана, Агыбай батыра 2",51.1612979,71.4252563
397,"Астана, ул. Жошы хан, 12/3 1",51.1079256,71.4443257
398,"Астана, Шамши Калдаяков 60б",51.1102844,71.5119117
399,"Астана, Улица А 52, 4 4/1",51.1089195,71.5104632
400,"Астана, Бухар жырау 20А",51.0993827,71.4321172
401,"Алматы, Радостовца 152/1",43.2227028,76.8941715
402,"Алматы, мкр Жетысу-1 29",,
403,"Алматы, Розыбакиева 283/A",43.1966269,76.8930338
404,"Астана, мкр Комсомольский, Жошы Хан 20",,
405,"Алматы, мкр Шугыла, Жуалы 17",,
406,"Алматы, мкр Таугуль-1 76",,
407,"Шымкент, Сырым батыра 2Б",,
408,"Астана, Касым Аманжолова",,
409,"Астана, Ушкопир 15/1",51.1018345,71.4349745
410,"Алматы, мкр Акбулак, Момышулы 100",,
411,"Алматы, Микрорайон Аксай-5",43.2283767,76.8330026
412,"Астана, ул. Агыбай батыра 2",51.1612979,71.4252563
413,"Астана, Туран 40/1",51.1155369,71.4026667
414,"Астана, К. Сатпаева 24",51.1379446,71.4788961
415,"Астана, просп. Аль-Фараби 11/1",51.0976143,71.4485118
416,"Алматы, мкр Шугыла, Мкр. Шугыла 340/4",,
417,"Астана, Кулагер 12/6",50.2849639,57.1374767
418,"Алматы, Ади Шарипова",43.242804,76.9236356
419,"Шымкент, мкр Туран-2 50",,
420,"Астана, Е-882",51.1160425,71.4002384
421,"Алматы, проспект Гагарина 135к",43.2051795,76.8990197
422,"Алматы, Навои",43.1961001,76.8878161
423,"Алматы, Сатпаева 30а",43.2348065,76.9212701
